Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Signup,1,35760,35760,35760,35760,35760,35760,35760,100.000%,.02796,0.01,0.02
Login Request,1,35831,35831,35831,35831,35831,35831,35831,0.000%,.02791,0.02,0.01
Make Admin,1,75,75,75,75,75,75,75,100.000%,13.33333,3.78,6.68
Amount Spent,1,2,2,2,2,2,2,2,0.000%,500.00000,139.16,239.26
Deactivate User,1,2,2,2,2,2,2,2,100.000%,500.00000,142.09,246.58
Get Rented Books,1,3,3,3,3,3,3,3,0.000%,333.33333,130.86,159.18
Add a book,1,3,3,3,3,3,3,3,100.000%,333.33333,89.84,214.52
Get Books by Genre,1,2,2,2,2,2,2,2,0.000%,500.00000,141.11,233.89
Count all Books,1,1,1,1,1,1,1,1,0.000%,1000.00000,278.32,451.17
Issue a Book,1,3,3,3,3,3,3,3,100.000%,333.33333,95.70,165.69
Count Rented Books,1,2,2,2,2,2,2,2,0.000%,500.00000,144.53,227.05
Deactivate a Book,1,1,1,1,1,1,1,1,100.000%,1000.00000,275.39,493.16
HTTP Request,1,0,0,0,0,0,0,0,100.000%,∞,0.00,0.00
Days t0 Rent,1,3,3,3,3,3,3,3,0.000%,333.33333,94.08,158.85
Get all Books by Author,1,596,596,596,596,596,596,596,0.000%,1.67785,1.12,0.81
Find Books by author name pattern,1,19,19,19,19,19,19,19,0.000%,52.63158,156.04,25.19
Trending Authors,1,1,1,1,1,1,1,1,0.000%,1000.00000,328.12,462.89
Update book Data,1,4,4,4,4,4,4,4,0.000%,250.00000,116.21,128.91
TOTAL,18,4017,3,596,35760,35831,0,35831,38.889%,.49360,0.26,0.23
