Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Request,1500,49743,49819,89478,94006,97405,166,98115,0.000%,15.06054,8.55,7.99
Amount Spent,1500,48295,47673,86228,91092,94361,22,95024,0.000%,14.84810,4.13,7.11
Get Rented Books,1500,4012,2458,2543,2577,87760,2232,99502,0.000%,14.47988,5.68,6.91
Get Books by Genre,1500,1632,1623,1819,1905,1943,786,1952,0.000%,272.33115,76.86,127.39
Count all Books,1500,1169,1162,1393,1414,1807,778,1847,0.000%,308.64198,85.90,139.25
Count Rented Books,1500,757,744,898,910,1375,531,1848,0.000%,324.95667,93.93,147.56
Days t0 Rent,1500,2114,2107,2713,2773,2826,1371,2863,0.000%,266.38253,75.18,126.95
Get all Books by Author,1500,42,42,53,58,74,10,111,0.000%,507.95801,339.30,246.04
Find Books by author name pattern,1500,2859,2884,3650,3774,3812,449,3821,0.000%,223.88060,663.77,107.13
Trending Authors,1500,58,58,72,78,92,8,109,0.000%,239.04382,78.44,110.65
Update book Data,1500,2251,2230,3571,3692,3793,660,3830,0.000%,216.57522,100.67,111.67
TOTAL,16500,10267,1785,45083,71211,92091,8,99502,0.000%,144.62520,89.35,69.39
